dataset,key,n_rows,n_keys,entropy_bits,avg_block,p95_block,max_block
A,bk_state_zip,60751,9247,11.666795511516877,6.569806423704986,21.0,1834.0
A,bk_state_city,60751,7106,10.88155591404859,8.549254151421334,29.75,791.0
A,bk_state_last_fi,60751,57547,15.730957470887157,1.0556762298642848,1.0,39.0
A,bk_state_last,60751,49751,15.364835195518385,1.2211010833953087,2.0,48.0
B,bk_state_zip,105203,10158,12.17908660605868,10.356664697775152,41.0,397.0
B,bk_state_city,105203,6808,10.697674124729717,15.452849588719154,61.649999999999636,1285.0
B,bk_state_last_fi,105203,99071,16.54617413009806,1.0618950045926658,1.0,21.0
B,bk_state_last,105203,78618,15.916184353782848,1.3381541122898064,3.0,111.0
C,bk_state_last_fi,2391071,1509191,18.379752260630166,1.5843395567559044,3.0,38358.0
C,bk_state_last,2391071,849992,16.894094437417422,2.8130511816581802,6.0,38358.0
