dataset,a,b,mutual_info_bits
A,zip5,city,9.644771470135609
A,zip5,last_key,9.196902000830788
A,city,last_key,8.237723842709133
A,state,zip5,4.895009136367204
A,state,city,4.750683704162655
A,state,last_key,3.336681390277733
A,last_key,first_init,2.6526401268382003
A,zip5,first_init,1.323202659167312
A,city,first_init,0.8264950809216415
A,state,first_init,0.026910813166034626
B,zip5,city,10.279228170025
B,zip5,last_key,9.381687286615662
B,city,last_key,7.645699498997504
B,state,zip5,4.927310971008155
B,state,city,4.609749376518294
B,state,last_key,2.858003113388799
B,last_key,first_init,2.1929301899475404
B,zip5,first_init,0.9564816703336075
B,city,first_init,0.5167650016677492
B,state,first_init,0.020202563627544932
C,last_key,first_init,1.4553602749649113
C,state,last_key,1.2818896891299418
C,state,first_init,0.012912563425702097
