dataset,col,non_null,distinct,top_share,entropy
providers_a,state,60751,58,0.08014682885878421,5.127700505223297
providers_a,zip5,54990,9227,0.005055464629932715,12.132209563730285
providers_a,last_or_org_name,60751,31701,0.006008131553390068,13.843918255754543
providers_a,provider_type,60751,101,0.14618689404289642,5.062324844049886
providers_b,state,105195,56,0.09620229098341176,4.926535409771622
providers_b,zip5,105195,10157,0.0037739436284994535,12.178862536861503
providers_b,last_name,105201,46511,0.006625412305966674,14.111155300682176
providers_b,specialty_1,105203,286,0.0975827685522276,5.368271453917422
providers_b,primary_type_1,105203,12,0.4899194889879566,2.080595226595598
providers_b,license_state_1,105203,54,0.09599536134901096,4.941728120052602
providers_c,state,2391071,56,0.09499801553362489,5.115427328067807
providers_c,last_name,2391071,384967,0.16070580923778507,13.536976919671412
providers_c,provider_type_desc,2391071,293,0.13023954537527327,5.557714807735385
