dataset,col,missing,missing_rate
providers_a,street2,47848,0.7876084344290629
providers_a,middle_name,22655,0.37291567217000543
providers_a,credentials,8189,0.13479613504304455
providers_a,zip5,5761,0.09482971473720597
providers_a,first_name,3325,0.05473160935622459
providers_a,npi,0,0.0
providers_a,last_or_org_name,0,0.0
providers_a,street1,0,0.0
providers_a,city,0,0.0
providers_a,state,0,0.0
providers_a,provider_type,0,0.0
providers_a,n_unique_hcpcs,0,0.0
providers_a,sum_benes,0,0.0
providers_a,sum_srvcs,0,0.0
providers_a,mean_avg_std_amt,0,0.0
providers_a,n_unique_street1,0,0.0
providers_a,n_unique_city,0,0.0
providers_a,n_unique_name,0,0.0
providers_b,suffix,104444,0.9927853768428657
providers_b,street2,85976,0.8172390521182856
providers_b,middle_name,68562,0.6517114530954441
providers_b,npi,40,0.00038021729418362594
providers_b,zip5,8,0.00007604345883672518
providers_b,state,8,0.00007604345883672518
providers_b,last_name,2,0.000019010864709181296
providers_b,first_name,1,9.505432354590648e-6
providers_b,street1,0,0.0
providers_b,city,0,0.0
providers_b,profile_id,0,0.0
providers_b,specialty_1,0,0.0
providers_b,primary_type_1,0,0.0
providers_b,license_state_1,0,0.0
providers_b,n_payment_rows,0,0.0
providers_b,sum_payment_amount,0,0.0
providers_b,mean_payment_amount,0,0.0
providers_b,n_years,0,0.0
providers_b,n_unique_street1,0,0.0
providers_b,n_unique_city,0,0.0
providers_b,n_unique_last_name,0,0.0
providers_c,npi,0,0.0
providers_c,first_name,0,0.0
providers_c,middle_name,0,0.0
providers_c,last_name,0,0.0
providers_c,org_name,0,0.0
providers_c,state,0,0.0
providers_c,provider_type_cd,0,0.0
providers_c,provider_type_desc,0,0.0
providers_c,n_unique_provider_type_desc,0,0.0
