npi,sum_benes,dataset,metric,reason,sum_srvcs,profile_id,sum_payment_amount
1013014836,2453.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043508963,3123.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013987882,22507.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043307549,5061.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013915552,6029.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023246527,5286.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043211444,2818.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043218845,3573.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003852039,5420.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003811423,2748.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013128073,2770.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033125414,4547.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043254964,3601.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043461924,7931.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033284823,5381.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003870726,7476.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023205531,2835.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013352962,9611.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003912809,8319.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023371077,2962.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003808361,5025.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033370408,10674.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013127117,3387.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013128057,2530.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003245317,9951.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003927666,2784.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013100312,5759.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043500598,2781.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013353804,3667.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023050655,3367.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
