concept,dataset,column
npi,providers_a,npi
npi,providers_b,npi
npi,providers_c,npi
first_name,providers_a,first_name
first_name,providers_b,first_name
first_name,providers_c,first_name
last_name_or_org,providers_a,last_or_org_name
last_name_or_org,providers_b,last_name
last_name_or_org,providers_c,last_name
state,providers_a,state
state,providers_b,state
state,providers_c,state
zip5,providers_a,zip5
zip5,providers_b,zip5
zip5,providers_c,
provider_type_specialty,providers_a,provider_type
provider_type_specialty,providers_b,specialty_1
provider_type_specialty,providers_c,provider_type_desc
